Projeto;Ementa;Palavras-chave;Promoventes
PL 680/2025;Declara a loja Woodstock Rock Store como patrimônio cultural imaterial do Município de São Paulo.;ARTISTA | COLECIONADOR | CONFECCAO ( VESTUARIO ) | CULTURA | DECLARACAO | DISCO | HEAVY METAL ( GENERO MUSICAL ) | HISTORIA | IDENTIDADE | IMPORTANCIA | LOJA | LOJA DE DISCOS | MODA | MUSICA | MUSICO | PATRIMONIO CULTURAL IMATERIAL | PRODUTOR MUSICAL | ROCK | WOODSTOCK ROCK STORE | ZONA CENTRO;Ver. GEORGE HATO (MDB)
PL 679/2025;Cria o Plano de Transição Energética para Comunidades de Baixa Renda e dá outras providências.;ACESSO | BAIXA RENDA | BIODIGESTOR | COLETOR SOLAR | COMBATE | COMUNIDADE | CRIACAO | CUSTO | DESIGUALDADE SOCIAL | DIGNIDADE | ENERGIA ALTERNATIVA | ENERGIA ELETRICA | ENERGIA FOTOVOLTAICA | ENERGIA SOLAR | EXCLUSAO | FERTILIZANTE | FINANCIAMENTO | FOMENTO | FORMACAO PROFISSIONAL | GAS NATURAL | GESTAO | HABILITACAO | HABITACAO DE INTERESSE SOCIAL | ILUMINACAO PUBLICA | IMPLANTACAO | INCENTIVO | INSTALACAO | JUSTICA SOCIAL | LAMPADA | MANUTENCAO | MEIO AMBIENTE | MORADOR | PARCERIA | PERIFERIA URBANA | PLANO DE TRANSICAO ENERGETICA PARA COMUNIDADES DE BAIXA RENDA | PMSP | PRODUCAO | PROGRAMA MUNICIPAL DE PARCERIAS PUBLICO PRIVADAS | PROJETO | QUILOMBOLA | REDUCAO | SECRETARIA MUNICIPAL | SUBSIDIO ( SUBVENCAO ) | SUBSTITUICAO | SUSTENTABILIDADE | TRANSICAO ENERGETICA | UTILIZACAO | VULNERABILIDADE | ZONA RURAL;Ver. SILVIA DA BANCADA FEMINISTA (PSOL)
PL 678/2025;Institui o Programa de Justiça Climática para Periferias e Favelas no município de São Paulo e dá outras providências.;ADAPTACAO CLIMATICA | ALERTA | AREA VERDE | AVISO PREVIO | BAIXA RENDA | CENTRO COMUNITARIO | CICLOVIA | CLIMA | COLETOR SOLAR | COMUNIDADE | CORREDOR ECOLOGICO | CRIACAO | DESABAMENTO | DESENVOLVIMENTO | DESIGUALDADE SOCIAL | EMPRESA | ENCHENTE | FAVELA | HABILITACAO | HABITACAO DE INTERESSE SOCIAL | ILHA DE CALOR URBANO | ILHA DE RESFRIAMENTO URBANO | IMPACTO AMBIENTAL | INCENTIVO | INDIGENA | INSTALACAO | JARDIM VERTICAL | MEIO AMBIENTE | MORADOR | MUDANCAS CLIMATICAS | NEGRO | PARCERIA | PARQUE | PARTICIPACAO POPULAR | PERIFERIA URBANA | PMSP | POLITICA DO MEIO AMBIENTE | POPULACAO | POPULACAO INDIGENA | PRACA PUBLICA | PRECARIEDADE | PROGRAMA | PROGRAMA DE JUSTICA CLIMATICA PARA PERIFERIAS E FAVELAS | PROGRAMA MUNICIPAL DE PARCERIAS PUBLICO PRIVADAS | PROJETO | PROMOCAO | REDUCAO | SITUACAO DE EMERGENCIA | SOCIEDADE CIVIL | TELHADO VERDE | UNIVERSIDADE | VULNERABILIDADE;Ver. SILVIA DA BANCADA FEMINISTA (PSOL)
PL 677/2025;Institui o Programa de Ensino da História e Cultura Afro-brasileira e Indígena “São Paulo de Dandara e Piatã” nas escolas do Município de São Paulo, e dá outras providências.;ACOMPANHAMENTO | AQUISICAO | ATIVIDADE EXTRACURRICULAR | AVALIACAO | CARGA HORARIA | COLABORACAO | COMBATE | COMUNIDADE | CONSELHO MUNICIPAL DE EDUCACAO | CONSELHO MUNICIPAL DE PROMOCAO DE IGUALDADE RACIAL | COOPERACAO | COORDENACAO | COORDENACAO DE PROMOCAO DA IGUALDADE RACIAL | COORDENADOR PEDAGOGICO | COORDENADORIA DE POLITICAS DE PROMOCAO DA IGUALDADE RACIAL | CORPO DOCENTE | CRIACAO | CULTURA | CULTURA AFRO BRASILEIRA | CULTURA INDIGENA | CURRICULO ESCOLAR | DANDARA DOS PALMARES | DIRETOR DE ESCOLA | DISCIPLINA ESCOLAR | DISCRIMINACAO RACIAL | DIVERSIDADE CULTURAL | EDUCACAO BASICA | EDUCACAO DE JOVENS E ADULTOS | EDUCACAO ETNICO RACIAL | EDUCACAO INFANTIL | EDUCACAO PERMANENTE | ENSINO | ENSINO FUNDAMENTAL | ENSINO MEDIO | ENSINO MUNICIPAL | ESCOLA MUNICIPAL | ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL | ESPECIALISTA | ESTABELECIMENTO DE ENSINO | FORMACAO | GESTAO | GRUPO | HABILITACAO | HISTORIA | HORARIO ESCOLAR | INDIGENA | INTEGRACAO | JOGO DA ONCA | JOGOS | LEI 10.639/2003 ( FEDERAL ) | LEI 11.645/2008 ( FEDERAL ) | LINGUAGEM | LIVRO | MANCALA AWELE ( JOGO ) | MATERIAL AUDIOVISUAL | MATERIAL ESCOLAR | MEMBROS | NEGRO | NUCLEO DE EDUCACAO PARA AS RELACOES ETNICO RACIAIS | OBRIGATORIEDADE | ORCAMENTO | PAIS ( GENITORES ) | PARTICIPACAO | PEDAGOGIA | PIATA ( PERSONAGEM INDIGENA ) | PRATICA EDUCATIVA | PROFESSOR | PROGRAMA | PROGRAMA SAO PAULO DE DANDARA E PIATA | RECURSOS FINANCEIROS | RECURSOS ORCAMENTARIOS | RELIGIAO | RESPONSAVEL | SECRETARIA MUNICIPAL DE DIREITOS HUMANOS E CIDADANIA | SECRETARIA MUNICIPAL DE EDUCACAO | SELECAO | SERVIDOR EFETIVO | SOCIEDADE | TRADICAO | UNIDADE EDUCACIONAL | UTILIZACAO;Ver. DHEISON SILVA (PT)
PL 676/2025;Institui o Circuito Azul Spcine, com sessões acessíveis mensais dedicadas a pessoas com Transtorno do Espectro Autista (TEA), no âmbito do Circuito Spcine, e dá outras providência.;ACESSIBILIDADE | ACOMPANHANTE | ATIVIDADE CULTURAL | BIBLIOTECA MUNICIPAL ROBERTO SANTOS | CENTRO CULTURAL SAO PAULO | CENTRO DE FORMACAO CULTURAL DE CIDADE TIRADENTES | CENTRO EDUCACIONAL UNIFICADO | CINE OLIDO | CINEMA | CIRCUITO AZUL SPCINE | CIRCUITO SPCINE DE CINEMA | COMPETENCIA | CONTROLE | CRIACAO | EQUIPAMENTO PUBLICO | FAMILIA | GRATUIDADE | ILUMINACAO | INCLUSAO | LEGENDA | LEI 17.272/2020 | LEI 17.502/2020 | LIBRAS | PARCERIA | PESSOA COM DEFICIENCIA | POLITICA MUNICIPAL PARA GARANTIA, PROTECAO E AMPLIACAO DOS DIREITOS DAS PESSOAS COM TRANSTORNO DO ESPECTRO AUTISTA E SEUS FAMILIARES | PRECO REDUZIDO | REGULAMENTACAO | SECRETARIA MUNICIPAL DE CULTURA | SECRETARIA MUNICIPAL DE EDUCACAO | SOM | SPCINE | TRANSTORNO DO ESPECTRO AUTISTA;Ver. RICARDO TEIXEIRA (UNIÃO)
PL 675/2025;Institui o Circuito Spcine como política pública permanente de democratização do acesso ao cinema e à formação audiovisual no Município de São Paulo, e dá outras providências;ACESSO | ACOMPANHAMENTO | APOIO | ATIVIDADE CULTURAL | BIBLIOTECA MUNICIPAL ROBERTO SANTOS | CENTRO CULTURAL SAO PAULO | CENTRO DE FORMACAO CULTURAL DE CIDADE TIRADENTES | CENTRO EDUCACIONAL UNIFICADO | CINE OLIDO | CINEMA | CIRCUITO SPCINE DE CINEMA | COMPETENCIA | DIVERSOES PUBLICAS | EQUIPAMENTO PUBLICO | ESCRITORIO DE PROJETOS | FILME | FUNCIONAMENTO | GRATUIDADE | HORARIO | INCENTIVO | PERIFERIA URBANA | PERMANENCIA | POLITICAS PUBLICAS | PRECO REDUZIDO | REGULAMENTACAO | SECRETARIA MUNICIPAL DE CULTURA | SECRETARIA MUNICIPAL DE EDUCACAO | SPCINE;Ver. RICARDO TEIXEIRA (UNIÃO)
PL 674/2025;"Altera a Lei nº 16.673, de 13 de junho de 2017, que institui o Estatuto do Pedestre no Município de São Paulo; a Lei nº 17.501, de 3 de novembro de 2020, que dispõe sobre a observância de normas técnicas para o uso do espaço público pelas concessionárias de serviço público de distribuição de energia elétrica e demais empresas que compartilhem sua infraestrutura e sobre a retirada de fios inutilizados em vias públicas do Município de São Paulo; bem como a Lei nº 13.478, de 30 de dezembro de 2002, que dispõe sobre a organização do Sistema de Limpeza Urbana do Município de São Paulo, e dá outras providências.";ACESSIBILIDADE | ADAPTACAO | ALTERACAO | BENS PUBLICOS | CABO ( FIACAO ) | CALCADA | CANCELAMENTO | CARTAZ | CONCESSIONARIA | CONFORTO | COTA | DESCUMPRIMENTO | DESPESA | DISCORDANCIA | DIVULGACAO | EMISSAO DE DOCUMENTO | EMPRESA DE ENERGIA ELETRICA | EMPRESA DE TELEFONIA | ENERGIA ELETRICA | ENVIO | EQUIPAMENTO PUBLICO | EQUIPAMENTOS | ESPACO PUBLICO | ESTATUTO DO PEDESTRE | FIO ELETRICO | FISCALIZACAO | INFRACAO | INSTALACAO | LEI 13.478/2002 | LEI 16.673/2017 | LEI 17.501/2020 | LIMPEZA PUBLICA | MOBILIARIO URBANO | MOBILIDADE URBANA | MONUMENTO | MULTA | NORMAS | NOTIFICACAO | NUMERO DE TELEFONE | OBSTACULO | OCUPACAO | OFICIO | PAISAGEM URBANA | PENALIDADE | PERMISSIONARIA | POLUICAO VISUAL | POSTE | PRACA PUBLICA | PRAZO | PRESTACAO DE SERVICO | PUBLICIDADE | QUALIDADE | REEMBOLSO | REGULARIZACAO | REMOCAO | RESPONSAVEL | RESTAURACAO | RETIRADA | SEGURANCA | SERVICOS PUBLICOS | SISTEMA DE LIMPEZA URBANA DO MUNICIPIO DE SAO PAULO | TELEFONE | TITULAR | TOMBAMENTO | UTILIZACAO | VALOR | ZELADORIA URBANA;Executivo - RICARDO NUNES
PL 673/2025;Desincorpora da classe dos bens de uso comum do povo e transfere para a classe dos bens dominiais as áreas municipais que especifica, bem como autoriza a sua alienação.;ADQUIRENTE | ALIENACAO | ANTONIO DE SOUSA BARROS JUNIOR ( TRAVESSA ENGENHEIRO ) | AREA MUNICIPAL | AUTORIZACAO | AVALIACAO | BENS DE USO COMUM | BENS DOMINIAIS | DESINCORPORACAO | DESPESA | EIXO DE ESTRUTURACAO DA TRANSFORMACAO URBANA | ESCRITURA | IMOVEL | IMOVEL LINDEIRO | JARDIM PAULISTA ( DISTRITO ) | LAVRATURA | LEI 16.050/2014 | LEI 16.402/2016 | LEI 17.975/2023 | LEI 18.081/2024 | LEI DE USO E OCUPACAO DO SOLO | LORENA ( ALAMEDA ) | MACROAREA DE URBANIZACAO CONSOLIDADA | MACROZONA DE ESTRUTURACAO E QUALIFICACAO | ORGAOS MUNICIPAIS | PAGAMENTO | PAMPLONA ( RUA ) | PASSAGEM PARTICULAR | PERIMETRO DE QUALIFICACAO AMBIENTAL | PLANO DIRETOR DA CIDADE DE SAO PAULO | PMSP | PRECO | PROVIDENCIA | REGISTRO DE IMOVEIS | RUA SEM SAIDA | TOTAL | TRANSFERENCIA | TRAVESSA SEM SAIDA | VALOR | VIA DE ACESSO | VIA PUBLICA | VILA RESIDENCIAL | ZEU | ZONA URBANA | ZPR;Executivo - RICARDO NUNES
PL 672/2025;Dispõe sobre a requalificação urbana de espaços públicos reconhecidos como pontos históricos de resistência, convivência e sociabilidade da população LGBTQIAPN+.;ACESSIBILIDADE | APOIO | AREA DE USO COMUM | AROUCHE ( LARGO DO ) | ATIVIDADE CULTURAL | ATIVIDADE EDUCATIVA | ATIVIDADE POLITICA | ATIVIDADE SOCIAL | BISSEXUALIDADE | COLETIVO CULTURAL | COMPROVACAO | CONSULTA PUBLICA | CONVENIO | CONVIVENCIA | CRIACAO | DEFINICAO | DIGNIDADE | DIREITOS HUMANOS | DIVERSIDADE CULTURAL | ESPACO PUBLICO | ESTATUTO DA CIDADE | ESTUDO TECNICO | FRANKLIN ROOSEVELT ( PRACA ) | GENERO ( SEXO ) | GESTAO PARTICIPATIVA | GUARDA CIVIL METROPOLITANA | HISTORIA | HOMOSSEXUALIDADE | ILUMINACAO PUBLICA | IMPLEMENTACAO | INDICACAO ( DESIGNACAO ) | INFORMACAO | INFRAESTRUTURA | INSTITUICAO ( ENTIDADE ) | LEI 10.257/2001 ( FEDERAL ) | MANUTENCAO | MOBILIARIO URBANO | MOBILIDADE URBANA | PAISAGISMO | PAISSANDU ( LARGO DO ) | PARCERIA | PATRIMONIO HISTORICO | PESSOA INTERSEXO | POPULACAO | PROGRAMA | PROGRAMA MUNICIPAL DE REQUALIFICAÇÃO DE ESPAÇOS PÚBLICOS DE RESISTÊNCIA LGBTQIAPN+ | RELEVANCIA | REPUBLICA ( PRACA DA ) | REQUALIFICACAO | REURBANIZACAO | SANITARIO PUBLICO | SEGURANCA PUBLICA | SEXUALIDADE | SINALIZACAO | SOCIALIZACAO | SOCIEDADE CIVIL | SOCIOLOGIA | TERMO DE COOPERACAO | TERMO DE FOMENTO | TRANSEXUALIDADE | TRAVESTI | UNIVERSIDADE | VALORIZACAO | ZELADORIA URBANA | ZONA URBANA;Ver. KEIT LIMA (PSOL)
PL 671/2025;Dispõe sobre o uso do nome social de pessoas trans de forma póstuma no Município de São Paulo, garantindo sua inclusão em certidões de óbito, documentos relacionados e demais práticas funerárias, e dá outras providências.;AMIGO | ATESTADO DE OBITO | CAMPANHA | CARTORIO DE REGISTRO CIVIL | CERTIDAO | CODIGO CIVIL | CODIGO PENAL | COMPANHEIRO | COMPROVACAO | CONSCIENTIZACAO | DECRETO 08.727/2016 ( FEDERAL ) | DEFENSORIA PUBLICA DO ESTADO DE SAO PAULO | DESCUMPRIMENTO | DIREITOS DA PERSONALIDADE | DISCRIMINACAO | DOCUMENTO | EMISSAO DE DOCUMENTO | EMPRESA FUNERARIA | FAMILIA | FUNERAL | GENERO ( SEXO ) | IDENTIDADE | IDENTIFICACAO | INTERVENCAO | JAZIGO | LAPIDE | MEMORIAL | MINISTERIO PUBLICO DO ESTADO DE SAO PAULO | MORTE | NOME | NOME SOCIAL | OPINIAO CONTRARIA | ORGAO TECNICO | PARENTE | PENALIDADE | PESSOA FALECIDA | PRIORIDADE | PROCESSO JUDICIAL | REGISTRO | REGISTRO CIVIL | REINCIDENCIA | REPRESENTANTE LEGAL | RESPEITO | RETIFICACAO | SOCIEDADE CIVIL | SOLICITACAO | TRAMITACAO | TRANSEXUALIDADE | TRANSFOBIA | UTILIZACAO | VESTUARIO | VIOLACAO;Ver. KEIT LIMA (PSOL)
PL 670/2025;Institui o Selo de Direitos Humanos e Diversidade - Xica Manicongo, destinado ao reconhecimento e fomento de iniciativas de inclusão e promoção dos direitos humanos e da diversidade.;ACOES AFIRMATIVAS | ACOMPANHAMENTO | ANALISE | AVALIACAO | BISSEXUALIDADE | CADASTRO | CAMPANHA | COLETIVO CULTURAL | COMBATE | COMISSAO DE AVALIACAO | COMISSAO DE ETICA | COMITE | CONCESSAO | CONDENACAO JUDICIAL | CRIACAO | CRITERIOS | DECISAO JUDICIAL | DECRETO 62.642/2023 | DETENTO | DIREITOS HUMANOS | DISCRIMINACAO | DISPONIBILIDADE | DIVERSIDADE CULTURAL | EDITAL | ELIMINACAO | EMPRESA | ETICA | EXCLUSAO | FOMENTO | GARANTIA | GENERO ( SEXO ) | GESTAO | HOMOSSEXUALIDADE | IDOSO | IGUALDADE | INCENTIVO | INCLUSAO | INDIGENA | INSTITUICAO ( ENTIDADE ) | INTEGRACAO ADMINISTRATIVA | INTERNET | JUSTICA INTERSECCIONAL | JUVENTUDE | MIGRANTE | MORADOR DE RUA | ORGAOS PUBLICOS | PARTICIPACAO POPULAR | PERIFERIA URBANA | PESSOA COM DEFICIENCIA | PESSOA INTERSEXO | POLITICAS PUBLICAS | POPULACAO | PROIBICAO | PROMOCAO | PUBLICIDADE | RACA | REGULAMENTO | RELIGIAO | SECRETARIA MUNICIPAL DE DIREITOS HUMANOS E CIDADANIA | SELO | SELO DE DIREITOS HUMANOS E DIVERSIDADE | SELO DE DIREITOS HUMANOS E DIVERSIDADE – XICA MANICONGO | SOCIEDADE CIVIL | TERMO DE AJUSTAMENTO DE CONDUTA | TERMO DE COLABORACAO | TERMO DE FOMENTO | TRANSEXUALIDADE | TRANSITO EM JULGADO | TRAVESTI | UTILIZACAO | VEICULACAO PUBLICITARIA | VIOLACAO | VISIBILIDADE | VULNERABILIDADE | XICA MANICONGO;Ver. KEIT LIMA (PSOL)
PL 669/2025;Institui o Programa Municipal de Empregabilidade e Inclusão Profissional de Pessoas Transexuais e Travestis, com foco na promoção da igualdade de oportunidades no mercado de trabalho, no Município de São Paulo.;ACOES AFIRMATIVAS | AMBIENTE DO TRABALHO | APRENDIZAGEM | ASSISTENCIA JURIDICA | ASSISTENCIA PSICOLOGICA | ATENCAO | CAMPANHA | CENTRO DA JUVENTUDE | CENTRO DE ACOLHIDA | CENTRO DE CAPACITACAO PROFISSIONAL | COLETIVO CULTURAL | COMBATE | COMUNIDADE | CONSCIENTIZACAO | CONVENIO | COTA MUNICIPAL DE EMPREGO | CREDITOS | CRIACAO | CURSO TECNICO | DESTINACAO | DIGNIDADE | DISCRIMINACAO | DISCRIMINACAO RACIAL | DIVERSIDADE CULTURAL | DIVULGACAO | EMPREENDEDORISMO | EMPREGO | EMPRESA | ENCAMINHAMENTO | ESCOLA MUNICIPAL | ESTABELECIMENTO DE ENSINO | ESTAGIO | FORMACAO PROFISSIONAL | GENERO ( SEXO ) | HABILITACAO PROFISSIONAL | IDENTIDADE | IGUALDADE | INCENTIVO FISCAL | INCLUSAO | INSERCAO | INSTITUICAO EDUCACIONAL | MERCADO DE TRABALHO | OPORTUNIDADE | ORGAOS MUNICIPAIS | ORIENTACAO PROFISSIONAL | PARCERIA | PEQUENA EMPRESA | PLATAFORMA TECNOLOGICA | PMSP | PREMIO MUNICIPAL DE INCLUSAO E DIVERSIDADE NO MERCADO DE TRABALHO | PRESTACAO DE CONTAS | PROGRAMA | PROGRAMA MUNICIPAL DE EMPREGABILIDADE E INCLUSÃO PROFISSIONAL DE PESSOAS TRANSEXUAIS E TRAVESTIS | RACA | RESERVA | SECRETARIA MUNICIPAL | SECRETARIA MUNICIPAL DE ASSISTENCIA E DESENVOLVIMENTO SOCIAL | SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONOMICO | SECRETARIA MUNICIPAL DE DIREITOS HUMANOS E CIDADANIA | SECRETARIA MUNICIPAL DE EDUCACAO | SELECAO | SOCIEDADE CIVIL | TRANSEXUALIDADE | TRANSFOBIA | TRAVESTI | VAGA | VALORIZACAO | VULNERABILIDADE;Ver. KEIT LIMA (PSOL)
PL 668/2025;Institui o Programa ‘Fala Aí, Polícia!’ que visa a integração entre a Polícia Militar, a Guarda Civil Metropolitana e as Escolas Municipais da cidade de São Paulo e dá outras providências.;AGENTE DE SEGURANCA | ATIVIDADES | CARREIRA | CARREIRA MILITAR | CIDADANIA | COLABORACAO | COMBATE | CONSCIENTIZACAO | CRIACAO | DIVULGACAO | ESCOLA MUNICIPAL | ESTUDANTE | FAKE NEWS | GUARDA CIVIL METROPOLITANA | INCENTIVO | INFORMACAO | INTEGRACAO | JUVENTUDE | POLICIA MILITAR DO ESTADO DE SAO PAULO | PROGRAMA | PROGRAMA FALA AI, POLICIA | RESPEITO | RESPONSABILIDADE | SEGURANCA PUBLICA | TRABALHO;Ver. SARGENTO NANTES (PP)
PL 667/2025;Fica denominada Praça Pianista Cleusa Rodrigues Rodrigues a praça inominada situada na Rua Padre Lamberto Martim s/n - Jardim Pinheiros – Subprefeitura de Pinheiros;BUTANTA ( DISTRITO ) | CLEUSA RODRIGUES RODRIGUES ( PRACA PIANISTA ) | DENOMINACAO | JARDIM MATARAZZO ( BUTANTA ) | JARDIM PINHEIROS | LAMBERTO MARTIN ( RUA PADRE ) | LOGRADOURO PUBLICO | PRACA PUBLICA;Ver. THAMMY MIRANDA (PSD)
PL 666/2025;Dispõe sobre a obrigatoriedade de publicação semestral de mapas de calor urbano da cidade de São Paulo, com metas de plantio de árvores ou ações de mitigação térmica por subprefeitura.;ACOMPANHAMENTO | ANALISE | ARVORE | CALOR | COMPARACAO | CONCENTRACAO POPULACIONAL | CONDICOES SOCIO ECONOMICAS | CONSOLIDACAO | DADOS | ILHA DE CALOR URBANO | INSTITUICAO DE PESQUISA | INTERNET | MAPA | MAPA DE CALOR URBANO | MAPEAMENTO | MEIO AMBIENTE | METAS | OBRIGATORIEDADE | PARCERIA | PERIODO | PLANTIO | PLATAFORMA TECNOLOGICA | PORTAL GEOSAMPA | PRAZO | PUBLICACAO | REDUCAO | RESPONSAVEL | SECRETARIA MUNICIPAL DE INOVACAO E TECNOLOGIA | SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE | SOCIEDADE CIVIL | SUBPREFEITURA | TECNOLOGIA DIGITAL | TEMPERATURA AMBIENTAL | UNIVERSIDADE PUBLICA | VEGETACAO | VULNERABILIDADE;Ver. JAIR TATTO (PT)
PL 665/2025;Dispõe sobre a instalação de Caixas de Correios Comunitárias nas favelas e comunidades urbanas da cidade de São Paulo e dá outras providências.;ASSOCIACAO DE MORADORES | AUSENCIA | BENS | CADASTRO | CAIXA POSTAL COMUNITARIA | CAMPANHA EDUCATIVA | CEP | COMUNIDADE | CONJUNTO HABITACIONAL | CONSULTA | CORREIOS | CORRESPONDENCIA POSTAL | DEMANDA | ENDERECO | ENTREGA EXPRESSA | FAVELA | GARANTIA | IDENTIFICACAO | ILUMINACAO PUBLICA | INSTALACAO | LOCAL PUBLICO | LOTEAMENTO IRREGULAR | MAPEAMENTO | MERCADORIA | NOME | NUMERACAO DE IMOVEL | PARCERIA | QUANTIDADE | RECEBIMENTO | SEGURANCA | SOCIEDADE CIVIL;Ver. JAIR TATTO (PT)
PL 664/2025;Altera a Lei nº 14.485, de 19 de julho de 2007, para instituir o mês “maio vermelho de conscientização e prevenção de doenças cardiovasculares, dando ainda outras providências.;ACIDENTE VASCULAR ENCEFALICO | ALIMENTACAO | ALTERACAO | ASSISTENCIA MEDICA | ATIVIDADE FISICA | BENS MUNICIPAIS | BENS PUBLICOS | CALENDARIO OFICIAL DE EVENTOS | CAMPANHA EDUCATIVA | COLESTEROL | CONSCIENTIZACAO | CONTROLE | DIVULGACAO | DOENCA CARDIOVASCULAR | EDIFICIO PUBLICO | ESPACO URBANO | ESTRESSE | EVENTOS | EXAME MEDICO | GOVERNO ESTADUAL | HOSPITAL | ILUMINACAO | INCENTIVO | INFORMACAO | INFRAESTRUTURA | INOVACAO TECNOLOGICA | INSTITUICAO EDUCACIONAL | INSTITUICAO MEDICA | LEI 14.485/2007 | MAIO VERMELHO ( EVENTO ) | MESES COLORIDOS ( CALENDARIO DE EVENTOS ) | MONUMENTO | ONG | PALESTRA | PARCERIA | PESQUISA CIENTIFICA | PMSP | PRESSAO ARTERIAL | PREVENCAO | PROFISSIONAL DE SAUDE | PROMOCAO | REDE SOCIAL ( INTERNET ) | SAUDE ( ASSUNTO GERAL ) | SEMINARIO | TABAGISMO | UNIDADE DE SAUDE;Ver. RICARDO TEIXEIRA (UNIÃO)
PL 663/2025;Normatiza a exposição de cartazes e ou placas informativas, em locais de grande circulação de pessoas, com orientações que facilitam a identificação de um Acidente Vascular Cerebral (AVC), dando ainda outras providências.;ACADEMIA DE ESPORTES | ACIDENTE VASCULAR ENCEFALICO | AMBULANCIA | ASSISTENCIA MEDICA | BAR | CANAL DE ATENDIMENTO | CARTAZ | CENTRO COMERCIAL | CENTRO ESPORTIVO | DIAGNOSTICO | DOENTE | EDIFICIO PUBLICO | ENCAMINHAMENTO | ESTABELECIMENTO DE ENSINO | ESTADIO | EXPOSICAO | FIXACAO | HOSPITAL | IDENTIFICACAO | INSTITUICAO EDUCACIONAL | LOJA | ORGAOS PUBLICOS | PADARIA | PLACA | PRONTO SOCORRO | RESTAURANTE | SITUACAO DE EMERGENCIA | SUPERMERCADO | TERMINAL RODOVIARIO;Ver. RICARDO TEIXEIRA (UNIÃO)
PL 662/2025;Dispõe sobre a alteração de denominação da Avenida Presidente Castelo Branco para Avenida Jornalista Audálio Dantas, em conformidade com o Decreto Municipal N° 57.146/2016 que institui o Programa Ruas de Memória e dá outras providências.;ALTERACAO | AUDALIO DANTAS ( AVENIDA JORNALISTA ) | CASTELO BRANCO ( AVENIDA PRESIDENTE ) | DECRETO 57.146/2016 | DENOMINACAO | DIREITOS HUMANOS | HOMENAGEADO | HOMENAGEM | LOGRADOURO PUBLICO | PROGRAMA RUAS DE MEMORIA;Ver. ELISEU GABRIEL (PSB)
PL 661/2025;Cria o Programa de Oportunidades para a Juventude Negra e Periférica, destinado à ampliação do acesso ao emprego, à formação profissional para jovens negros e periféricos no Município de São Paulo.;ACESSO | ACOES AFIRMATIVAS | AMBIENTE DO TRABALHO | APOIO | APRENDIZAGEM | ASSISTENCIA JURIDICA | ASSISTENCIA PSICOLOGICA | CAMPANHA | CENTRO DA JUVENTUDE | CENTRO DE CAPACITACAO PROFISSIONAL | CENTRO DE FORMACAO PROFISSIONAL | COLABORACAO | COLETIVO CULTURAL | COMBATE | COMUNIDADE | CONSCIENTIZACAO | COOPERATIVA | COTA MUNICIPAL DE EMPREGO | CREDITOS | CRIACAO | CURSO TECNICO | DESIGUALDADE SOCIAL | DESTINACAO | DISCRIMINACAO RACIAL | ECONOMIA SOLIDARIA | EMPREENDEDORISMO | EMPREGO | EMPRESA | ENCAMINHAMENTO | ESCOLA MUNICIPAL | ESTABELECIMENTO DE ENSINO | ESTAGIO | FORMACAO PROFISSIONAL | HABILITACAO PROFISSIONAL | IGUALDADE | INCENTIVO | INCENTIVO FISCAL | MEDIACAO | MERCADO DE TRABALHO | NEGRO | OPORTUNIDADE | ORGAOS MUNICIPAIS | ORGAOS PUBLICOS | ORIENTACAO PROFISSIONAL | PARCERIA | PEQUENA EMPRESA | PERIFERIA URBANA | PLATAFORMA TECNOLOGICA | PMSP | PREMIO MUNICIPAL DE INCLUSAO E DIVERSIDADE NO MERCADO DE TRABALHO | PRESTACAO DE CONTAS | PROGRAMA | PROGRAMA DE OPORTUNIDADES PARA A JUVENTUDE NEGRA E PERIFERICA | RACA | RESERVA | SECRETARIA MUNICIPAL | SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONOMICO | SECRETARIA MUNICIPAL DE EDUCACAO | SETOR PRIVADO | SOCIEDADE CIVIL | VAGA;Ver. KEIT LIMA (PSOL)
